"","Role","Age","Gender","Race_Eth","School","SQI1","SQI2","SQI3","SQI4","SQI5","SQI6","SQI7","SQI8","SQI9","SQI10","SQI11","SQI12","SQI13","SQI14","SQI15","SQI16","SQI17","SQI18","SQI19","SQI20","SQI21","SQI22","SQI23","SQI24","SQI25","SQI26","SQI27","SQI28","SQI29","SQI30","SQI31","SQI32","SQI33","SQI34","SQI35","SQI36","SQI37","SQI38","SQI39","SQI40","SQI41","SQI42","SQI43","SQI44","SQI45","SQI46","SQI47","SQI48","SQI49","SQI50","SQI51","SQI52","SQI53","SQI54","LEA","State","County","IU","Q166","Q161","Q162","Q163","Q164","ProfessionalRole","Q67","Q68","Q653_1","Q653_2","Q653_3","Q654_1","Q654_2","Q654_3","Q668_1","Q668_2","Q668_3","Q669_1","Q669_2","Q669_3","Q677_1","Q677_2","Q677_3","Q678_1","Q678_2","Q678_3","Q688_1","Q688_2","Q688_3","Q689_1","Q689_2","Q689_3","Q699_1","Q699_2","Q699_3","Q700_1","Q700_2","Q700_3","Q714_1","Q714_2","Q714_3","Q715_1","Q715_2","Q715_3","Q728_1","Q728_2","Q728_3","Q729_1","Q729_2","Q729_3","Q748_1","Q748_2","Q748_3","Q749_1","Q749_2","Q749_3","Q759_1","Q759_2","Q759_3","Q760_1","Q760_2","Q760_3"
"325","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","17","Female","White","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,3,3,3,3,3,3,2,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","16","Male","I prefer to not to answer","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,2,4,3,4,3,3,3,3,3,4,4,4,4,4,2,3,3,2,2,3,3,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","19","Male","White","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,2,3,3,4,1,3,1,3,2,3,3,3,3,3,4,4,4,3,4,3,2,3,1,2,1,1,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","17","Female","White","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,2,4,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","16","Male","Black or African American","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,2,3,3,4,3,2,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,3,2,2,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","16","Male","Hispanic, Latino or Spanish origin","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,3,2,3,3,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","15","Female","Hispanic, Latino or Spanish origin","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,3,3,3,3,3,3,3,2,3,1,1,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","15","Female","White","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","16","Male","Black or African American","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,4,2,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)","I want to share about one young person","15","Male","White","Lebanon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","I'm a Transition Stakeholder",NA,NA,NA,NA,3,4,3,3,4,4,1,4,3,3,4,4,4,4,1,1,1,1,3,3,3,1,3,1,1,3,3,1,3,4,1,3,3,4,3,4,1,3,1,3,3,3,2,3,3,1,3,3,1,3,3,1,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Postsecondary Education Professional (College, Vocational Training, etc.)","14 to 21,Over 21","Lebanon High School",4,4,5,5,5,5,4,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,5,4,4,1,1,4,1,1,4,4,1,5,4,4,5,5,3,5,4,5,5,5,1,5,5,4,5
"336","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,1,1,1,2,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Employer or Employee of Business","Over 21","Lebanon High School",3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1
"337","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Agency Staff (If possible, please list your role and the agency)","14 to 21","Lebanon High School",5,5,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5
"338","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Lebanon High School",4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,3,3,2,2,3,2,2,5,4,5,5,4,3,4,4,3,4,4,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2
"339","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","Under 14,14 to 21","Lebanon Middle School",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"340","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,3,4,4,3,3,4,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,4,3,1,3,3,3,3,1,4,1,3,4,3,3,3,3,3,3,3,3,1,2,2,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Lebanon High School",5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"341","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,4,3,3,3,2,3,3,4,4,4,3,4,4,2,2,4,4,3,3,4,4,3,3,4,2,3,3,4,4,3,3,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Lebanon High School",4,3,3,4,4,5,4,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,5,4,5,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,4,3,3
"342","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,4,4,4,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","Under 14","Lebanon Middle School",4,3,4,3,4,3,4,3,4,3,3,3,5,3,4,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
"343","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","Under 14","Lebanon Middle School",3,3,4,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"344","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Lebanon High School",3,3,3,3,2,2,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3
"345","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,3,4,4,3,3,3,1,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Lebanon High School",5,3,4,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1
"346","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,2,3,3,4,3,3,3,4,3,4,2,4,4,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Lebanon High School",4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
"347","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,3,4,4,3,3,4,4,4,4,1,1,1,1,1,1,3,1,3,1,1,1,4,1,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"Agency Staff (If possible, please list your role and the agency)","14 to 21","Lebanon High School",5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,2,2,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,1
"348","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,2,3,3,3,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,"Lebanon","Pennsylvania","Lebanon","Lancaster-Lebanon (IU 13)",NA,NA,NA,NA,NA,"School Counselor","Under 14,14 to 21","Lebanon High School,Lebanon Middle School",4,3,4,4,2,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2
"349","I'm a Young Person",14,"Female","White","Mountain View Junior and Senior High School",3,3,1,4,3,2,2,4,3,4,2,4,3,2,4,2,2,2,1,3,4,3,2,2,2,4,2,4,4,1,3,2,2,3,2,1,1,2,3,1,1,1,3,2,2,2,2,2,2,1,1,1,1,1,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","I'm a Young Person",15,"Male","White","Mountain View Junior and Senior High School",4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,3,4,4,2,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","I'm a Young Person",18,"Male","White","Mountain View Junior and Senior High School",3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","I'm a Young Person",17,"Male","White","Mountain View Junior and Senior High School",3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,3,2,2,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","I'm a Young Person",17,"Female","White","Mountain View Junior and Senior High School",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","I'm a Young Person",17,"Male","White","Mountain View Junior and Senior High School",4,3,3,4,3,4,3,3,4,3,4,3,3,3,4,4,1,3,3,3,4,3,3,3,4,3,4,2,3,2,4,3,4,4,3,4,1,3,2,4,3,3,3,3,3,3,3,2,2,3,2,2,3,2,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","I'm a Young Person",19,"Female","White","Mountain View Junior and Senior High School",4,1,4,4,4,4,4,4,3,3,3,4,4,4,4,4,2,2,4,4,4,3,4,4,4,3,4,2,3,2,4,3,2,4,3,1,1,3,2,3,3,2,3,4,4,2,4,4,1,1,2,2,2,2,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","I'm a Young Person",21,"Female","White","Graduated or No Longer in High School",4,1,4,1,4,3,4,4,3,3,3,4,3,3,3,3,3,1,3,4,4,3,4,4,4,4,4,4,4,1,3,1,1,1,1,1,1,3,3,3,1,3,4,4,3,1,3,3,1,1,1,1,1,1,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","I'm a Young Person",17,"Female","White","Mountain View Junior and Senior High School",3,3,3,3,3,3,3,4,4,4,3,1,3,3,3,3,1,1,3,3,4,4,4,4,4,4,4,4,2,2,3,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,4,3,1,1,1,1,1,1,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","I'm a Young Person",19,"Female","White","Mountain View Junior and Senior High School",4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,1,3,3,3,3,3,3,3,3,4,4,4,4,1,4,1,1,4,3,1,1,3,1,4,3,3,4,3,4,3,4,1,3,1,1,1,1,1,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","I'm a Young Person",21,"Female","White","Graduated or No Longer in High School",4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,1,1,4,4,4,3,4,4,4,4,4,1,3,1,4,1,1,4,1,1,1,3,1,4,3,1,3,4,4,1,4,4,1,1,1,1,3,1,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,1,4,4,4,3,3,4,3,4,3,4,3,3,4,3,1,2,2,3,4,3,2,1,1,4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)","I want to share about one young person",NA,"Female","White","Mountain View Junior and Senior High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,2,2,3,3,2,2,2,2,2,2,4,3,1,2,2,2,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,"Mountain View","Pennsylvania","Susquehanna","Northeastern (IU 19)","I want to share about one young person","16","Male","White","Mountain View Junior and Senior High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
